date,heating degrees,occupancy,steam-LBS
2/9/13,22.57083333,0.5,42392.96712
2/10/13,20.13333333,0.5,35858.986
2/11/13,13.33333333,1,39821.27767
2/12/13,13.0625,1,33591.05143
2/13/13,14.25,1,33223.5498
2/14/13,13.50833333,1,32233.39681
2/15/13,11.7625,1,27095.43294
2/16/13,13.725,0.5,24954.1569
2/17/13,21.35,0.5,38694.23828
2/18/13,21.5375,1,49727.34375
2/19/13,13.45833333,1,33702.90365
2/20/13,16.3875,1,38129.68099
2/21/13,18.90833333,1,42006.98079
2/22/13,16.14166667,1,33785.47526
2/23/13,13.94583333,0.5,24756.19629
2/24/13,13.375,0.5,27728.31868
2/25/13,14.88333333,1,32450.67708
2/26/13,13.39583333,1,28232.04427
2/27/13,10.42083333,1,34213.88021
3/2/13,12.80416667,0.5,22344.34245
3/3/13,13.57083333,0.5,23641.38021
3/4/13,14.84166667,1,36295.34831
3/5/13,13.2,1,32690.15299
3/6/13,12.2375,1,35748.12988
3/7/13,13.80416667,1,42527.36979
3/8/13,14.12916667,1,41592.21029
3/9/13,13.84583333,0.5,25205.40202
3/10/13,13.1,0.5,25476.32975
3/11/13,10.6625,1,26037.57813
3/12/13,5.779166667,1,19760.09277
3/13/13,9.558333333,1,23155.48177
3/14/13,15.49166667,1,34807.44141
3/15/13,15.825,1,37321.03516
3/16/13,15.3625,0.4,25455.26693
3/17/13,15.82916667,0.4,28197.34375
3/18/13,16.34583333,0.4,39653.00781
3/19/13,14.45,0.4,42574.6875
3/20/13,15.81666667,0.4,37831.0026
3/21/13,15.49166667,0.4,36809.61979
3/22/13,15.17916667,0.4,34473.70703
3/23/13,14.3,0.4,26029.99349
3/24/13,13.2625,0.4,23858.60677
3/25/13,12.20416667,0.975,29403.96484
3/26/13,11.55,1,25352.70182
3/27/13,9.808333333,1,22444.12109
3/28/13,9.983333333,1,23744.88281
3/29/13,7.970833333,1,18893.07943
3/30/13,8.2875,0.5,14962.96875
3/31/13,7.708333333,0.5,14032.87109
4/1/13,8.175,1,20187.27214
4/2/13,13.9125,1,30293.08594
4/3/13,13.26666667,1,30219.10156
4/4/13,10.78333333,1,25141.16536
4/5/13,8.983333333,1,21010.09766
4/6/13,13.20833333,0.5,20633.88672
4/7/13,9.283333333,0.5,20223.8151
4/8/13,4.833333333,1,16073.4375
4/9/13,4.454166667,1,13234.72656
4/10/13,5.645833333,1,14666.46484
4/11/13,7.904166667,1,19028.4375
4/12/13,11.20833333,1,30324.27734
4/13/13,9.05,0.5,16064.90234
4/14/13,7.970833333,0.5,13778.27474
4/15/13,7.875,1,21740.57292
4/16/13,4.766666667,1,14398.07292
4/17/13,3.491666667,1,11744.89583
4/18/13,5.275,1,13660.72917
4/19/13,0.679166667,1,7657.552083
4/20/13,4.3125,0.5,11173.08594
4/21/13,10.125,0.5,13832.11589
4/22/13,9.604166667,1,23249.89583
4/23/13,9.804166667,1,29245.22786
4/24/13,4.416666667,1,14798.0599
4/25/13,3.5625,1,13965.19531
4/26/13,5.995833333,1,17157.04427
4/27/13,5.495833333,0.5,9269.270833
4/28/13,4.054166667,0.5,8793.111979
4/29/13,3.341666667,1,12464.13411
5/2/13,4.166666667,1,14240.95052
5/3/13,6.754166667,1,16576.66667
5/4/13,7.041666667,0.5,15878.74349
5/5/13,7.1,0.5,16222.61068
5/6/13,5.383333333,1,18332.64323
5/7/13,1.604166667,1,8171.041667
5/8/13,0.9625,1,12478.90625
5/9/13,1.425,1,11276.51042
5/10/13,0.5,1,5898.28125
5/11/13,0.1625,0.5,6112.565104
5/12/13,1.208333333,0.5,9057.122396
5/13/13,4.945833333,1,15834.32292
5/14/13,4.920833333,1,16470.27344
5/15/13,2.891666667,1,9215.078125
5/16/13,0.470833333,1,7772.096354
5/17/13,1.9,1,8441.458333
5/18/13,1.770833333,0.5,5726.263021
5/19/13,1.979166667,0.5,6705.657552
5/20/13,0.329166667,0.5,7271.360677
5/21/13,1.333333333,0.5,7355.677083
5/22/13,1.875,0.5,9256.054688
5/23/13,0.058333333,0.5,5916.972656
5/24/13,1.220833333,0.5,6890.253906
5/25/13,7.366666667,0.5,6733.072917
5/26/13,6.695833333,0.5,6802.018229
5/27/13,3.095833333,0.2,9854.752604
5/28/13,1.975,0.4875,11152.59115
5/29/13,0.291666667,0.5,10303.18359
5/30/13,0,0.5,5731.113281
5/31/13,0,0.5,6777.018229
6/1/13,0,0.5,6567.1875
6/2/13,0,0.5,6576.191406
6/3/13,0.008333333,0.5,4977.298177
6/4/13,1.020833333,0.5,0
6/5/13,1.054166667,0.5,18.75
6/6/13,0.520833333,0.5,0
6/7/13,2.208333333,0.5,40.625
6/8/13,0.5125,0.5,0
6/9/13,0.0375,0.5,21.875
6/10/13,0.341666667,0.5,18.75
6/11/13,0.720833333,0.5,0
6/12/13,0.495833333,0.5,0
6/13/13,1.675,0.5,18.75
6/14/13,1.3625,0.5,0
6/15/13,0.0125,0.5,0
6/16/13,0.141666667,0.5,0
6/17/13,0,0.5,0
6/18/13,0.341666667,0.5,18.75
6/19/13,0.383333333,0.5,0
6/20/13,0.5625,0.5,21.875
6/21/13,0,0.5,0
6/22/13,0,0.5,0
6/23/13,0,0.5,21.875
6/24/13,0,0.5,0
6/25/13,0,0.5,78.125
6/26/13,0,0.5,0
6/27/13,0,0.5,0
6/28/13,0,0.5,0
6/29/13,0,0.5,0
7/2/13,0,0.5,0
7/3/13,0,0.5,0
7/4/13,0,0.5,21.875
7/5/13,0,0.5,0
7/6/13,0,0.5,0
7/7/13,0,0.5,0
7/8/13,0,0.5,0
7/9/13,0,0.5,0
7/10/13,0,0.5,0
7/11/13,0,0.5,0
7/12/13,0,0.5,0
7/13/13,0,0.5,0
7/14/13,0,0.5,0
7/15/13,0,0.5,0
7/16/13,0,0.5,0
7/17/13,0,0.5,0
7/18/13,0,0.5,0
7/19/13,0,0.5,0
7/20/13,0,0.5,0
7/21/13,0,0.5,0
7/22/13,0,0.5,0
7/23/13,0,0.5,0
7/24/13,0,0.5,0
7/25/13,0,0.5,0
7/26/13,0,0.5,0
7/27/13,0,0.5,0
7/28/13,0,0.5,0
7/29/13,0,0.5,0
7/30/13,0,0.5,0
7/31/13,0,0.5,0
8/1/13,0,0.5,0
8/2/13,0,0.5,0
8/3/13,0,0.5,0
8/4/13,0,0.5,0
8/5/13,0.0875,0.5,0
8/6/13,0.6,0.5,0
8/7/13,0.104166667,0.5,0
8/8/13,0,0.5,0
8/9/13,0,0.5,0
8/10/13,0,0.5,0
8/11/13,0.066666667,0.5,0
8/12/13,0,0.5,0
8/13/13,0,0.5,0
8/14/13,0,0.5,0
8/15/13,0.195833333,0.5,0
8/16/13,0.033333333,0.5,0
8/17/13,0,0.5,0
8/18/13,0,0.5,0
8/19/13,0,0.5,0
8/20/13,0,0.5,0
8/21/13,0,0.5,0
8/22/13,0,0.5,0
8/23/13,0.004166667,0.5,0
8/24/13,0.229166667,0.5,0
8/25/13,0.320833333,0.5,0
8/26/13,0,0.5,0
8/27/13,0,0.5,0
8/28/13,0,0.5,0
8/29/13,0.0125,0.5,0
8/30/13,0.058333333,0.5,0
9/2/13,0,0.5,0
9/3/13,0,0.979166667,0
9/4/13,0,1,0
9/5/13,0.808333333,1,0
9/6/13,1.5875,1,0
9/7/13,0.675,0.5,0
9/8/13,0.683333333,0.5,0
9/9/13,1.6375,1,0
9/10/13,0.016666667,1,0
9/11/13,0,1,0
9/12/13,0,1,0
9/13/13,0.1125,1,0
9/14/13,0.395833333,0.5,0
9/15/13,1.291666667,0.5,0
9/16/13,1.266666667,1,1532.1875
9/17/13,4.404166667,1,2536.875
9/18/13,2.029166667,1,2666.25
9/19/13,0.816666667,1,2549.127604
9/20/13,0.695833333,1,2486.341146
9/21/13,0.383333333,0.5,2448.177083
9/22/13,0.458333333,0.5,2417.760417
9/23/13,3.5625,1,2392.96875
9/24/13,3.858333333,1,2395.989583
9/25/13,2.3625,1,2411.71224
9/26/13,1.579166667,1,2427.35026
9/27/13,1.6125,1,2439.479167
9/28/13,2.316666667,0.5,2441.822917
9/29/13,3.091666667,0.5,2423.645833
9/30/13,3.820833333,1,2395
10/1/13,1.491666667,1,2408.606771
10/2/13,0.008333333,1,2423.020833
10/3/13,0.095833333,1,3844.049479
10/4/13,0.995833333,1,4573.541667
10/5/13,0.304166667,0.5,4414.895833
10/6/13,0.4625,0.5,4410.625
10/7/13,0.041666667,1,4932.65625
10/8/13,1.720833333,1,7748.90625
10/9/13,3.154166667,1,13044.85026
10/10/13,2.8,1,9561.972656
10/11/13,1.6375,1,6927.916667
10/12/13,1.808333333,0.5,6248.372396
10/13/13,3.591666667,0.5,9342.825521
10/14/13,4.4125,0.6,13360.36458
10/15/13,1.920833333,0.983333333,7175.052083
10/16/13,2.179166667,1,10646.13281
10/17/13,0.441666667,1,6634.85026
10/18/13,0.820833333,1,8855.63151
10/19/13,2.258333333,0.5,12418.32031
10/20/13,3.204166667,0.5,12705.16927
