date	timestamp	cooling degrees	solar radiation	weekday	dehumidification	occupancy	chilledWater-TonDays
10/6/12	1349481600000	6.833333333	162.6666667	5	0.001087202	0.5	49.1365752
10/7/12	1349568000000	0.458333333	133.5	6	0	0.5	8.423002009
10/8/12	1349654400000	0.083333333	166.375	0	0	0.6	10.55829959
10/9/12	1349740800000	0.791666667	24.5	1	0	0.983333333	11.80944172
10/10/12	1349827200000	2.125	18.41666667	2	0.000561406	1	26.35432941
10/11/12	1349913600000	0.583333333	189.6666667	3	0	1	11.4045644
10/12/12	1350000000000	0	127.6666667	4	0	1	4.319648112
10/13/12	1350086400000	0	187.2083333	5	0	0.5	1.972929033
10/14/12	1350172800000	2.4125	53.875	6	7.94E-05	0.5	6.539355341
10/15/12	1350259200000	6.75	105.25	0	0.00149246	1	40.88198653
10/16/12	1350345600000	1.083333333	159.75	1	0.000233243	1	5.053828357
10/17/12	1350432000000	0.083333333	174	2	0	1	8.230405626
10/18/12	1350518400000	0.958333333	172.125	3	0	1	16.88583892
10/19/12	1350604800000	3.333333333	51.125	4	0.001024712	1	23.2206921
10/20/12	1350691200000	6.708333333	149.625	5	0.001742804	0.5	22.59065514
10/21/12	1350777600000	2.25	139.0833333	6	0	0.5	8.639077921
10/22/12	1350864000000	2.958333333	160.1666667	0	0	1	20.08181951
10/23/12	1350950400000	2.25	135.7916667	1	0	1	16.9431719
10/24/12	1351036800000	0.041666667	57.75	2	0	1	5.495260095
10/25/12	1351123200000	0.5	151.9166667	3	0	1	13.31411732
10/26/12	1351209600000	1.791666667	124.9166667	4	0	1	18.78958383
10/27/12	1351296000000	0.75	94.41666667	5	0	0.5	8.253978956
10/28/12	1351382400000	0.208333333	14.625	6	0	0.5	3.110425714
10/29/12	1351468800000	1.75	5.416666667	0	0.000614851	1	5.632269821
10/30/12	1351555200000	2.166666667	56.91666667	1	0.000807079	1	16.52450959
11/2/12	1351814400000	0	100.9166667	4	0	1	4.068329441
11/3/12	1351900800000	0	115.2916667	5	0	0.5	2.785234766
11/4/12	1351987200000	0	133.0416667	6	0	0.5	3.118115518
11/5/12	1352073600000	0	92.625	0	0	1	3.850880503
11/6/12	1352160000000	0	139.875	1	0	1	3.476910096
11/7/12	1352246400000	0	15.125	2	0	1	2.900099964
11/8/12	1352332800000	0	7.875	3	0	1	3.045267301
11/9/12	1352419200000	0	119.7083333	4	0	1	2.798276963
11/10/12	1352505600000	0.041666667	125.9583333	5	0	0.5	2.631426474
11/11/12	1352592000000	0.916666667	110.5833333	6	0	0.5	3.412838222
11/12/12	1352678400000	2	118.2083333	0	0	1	5.97470923
11/13/12	1352764800000	1.5	8.833333333	1	0.000497248	1	5.300532631
11/14/12	1352851200000	0	119.125	2	0	1	4.495707268
11/15/12	1352937600000	0	44.5	3	0	1	3.916715946
11/16/12	1353024000000	0	91.95833333	4	0	1	3.733460935
11/17/12	1353110400000	0	89.75	5	0	0.5	3.248689667
11/18/12	1353196800000	0	94.58333333	6	0	0.5	3.189935896
11/19/12	1353283200000	0	48.33333333	0	0	1	3.3101233
11/20/12	1353369600000	0	86.125	1	0	1	3.355303508
11/21/12	1353456000000	0	78.29166667	2	0	1	3.031478493
11/22/12	1353542400000	0	87.125	3	0	0.2	3.111825159
11/23/12	1353628800000	0	108.0416667	4	0	0.2	3.286791653
11/24/12	1353715200000	0	99.83333333	5	0	0.2	2.888693087
11/25/12	1353801600000	0	97.70833333	6	0	0.2	2.195541645
11/26/12	1353888000000	0	105.2916667	0	0	0.966666667	3.537421417
11/27/12	1353974400000	0	31.25	1	0	1	2.967265811
11/28/12	1354060800000	0	49.66666667	2	0	1	2.895977728
11/29/12	1354147200000	0	99.625	3	0	1	2.339653511
11/30/12	1354233600000	0	88.16666667	4	0	1	4.025650132
12/1/12	1354320000000	0	21.66666667	5	0	0.5	2.547555107
12/2/12	1354406400000	0	45.83333333	6	0	0.5	3.097985677
12/3/12	1354492800000	0.491666667	95.91666667	0	0	1	4.807198439
12/4/12	1354579200000	0.166666667	41.375	1	0	1	5.276929573
12/5/12	1354665600000	0.391666667	84.75	2	7.60E-07	1	4.746310844
12/6/12	1354752000000	0	99.79166667	3	0	1	4.790557821
12/7/12	1354838400000	0	37.08333333	4	0	1	5.159528347
12/8/12	1354924800000	0	9.666666667	5	0	0.5	3.186714232
12/9/12	1355011200000	0	88	6	0	0.5	2.982398386
12/10/12	1355097600000	0.875	13.16666667	0	0.000379211	1	4.397914576
12/11/12	1355184000000	0.083333333	51.95833333	1	1.58E-06	1	4.723259295
12/12/12	1355270400000	0	80.625	2	0	1	3.744310265
12/13/12	1355356800000	0	89.54166667	3	0	1	3.778522378
12/14/12	1355443200000	0	92.375	4	0	1	3.317058195
12/15/12	1355529600000	0	92.79166667	5	0	0.5	2.91213141
12/16/12	1355616000000	0	32.08333333	6	0	0.5	3.277820204
12/17/12	1355702400000	0	6.708333333	0	0	1	3.834053584
12/18/12	1355788800000	0	20.91666667	1	0	1	4.40672745
12/19/12	1355875200000	0	39.83333333	2	0	1	2.865180431
12/20/12	1355961600000	0	43.70833333	3	0	1	2.700784574
12/21/12	1356048000000	0	5.5	4	0	1	2.568420353
12/22/12	1356134400000	0	57.70833333	5	0	0.2	1.978414888
12/23/12	1356220800000	0	81.125	6	0	0.2	1.779473542
12/24/12	1356307200000	0	93.08333333	0	0	0	1.651476849
12/25/12	1356393600000	0	28.95833333	1	0	0	1.4850932
12/26/12	1356480000000	0	64.29166667	2	0	0	1.356687228
12/27/12	1356566400000	0	13.125	3	0	0	1.697927532
12/28/12	1356652800000	0	92.83333333	4	0	0	1.37410851
12/29/12	1356739200000	0	27.375	5	0	0	1.482956553
12/30/12	1356825600000	0	85.04166667	6	0	0	1.441285476
1/2/13	1357084800000	0	84.33333333	2	0	0.3	2.325856214
1/3/13	1357171200000	0	88.95833333	3	0	0.3	2.515187372
1/4/13	1357257600000	0	77.5	4	0	0.3	3.247282857
1/5/13	1357344000000	0	62.54166667	5	0	0.3	2.619242116
1/6/13	1357430400000	0	57.91666667	6	0	0.3	3.369082991
1/7/13	1357516800000	0	77.875	0	0	0.3	4.262012566
1/8/13	1357603200000	0	71.70833333	1	0	0.3	3.695255454
1/9/13	1357689600000	0	59	2	0	0.3	3.371594483
1/10/13	1357776000000	0	91.29166667	3	0	0.3	3.290677376
1/11/13	1357862400000	0	54.125	4	0	0.3	3.893155449
1/12/13	1357948800000	0	38.45833333	5	0	0.3	3.856111637
1/13/13	1358035200000	0	37.66666667	6	0	0.3	3.974890342
1/14/13	1358121600000	0.0375	33.75	0	0	0.3	4.545307378
1/15/13	1358208000000	0	68.41666667	1	0	0.3	4.997383717
1/16/13	1358294400000	0	10.16666667	2	0	0.3	4.221493502
1/17/13	1358380800000	0	83.79166667	3	0	0.3	3.713452098
1/18/13	1358467200000	0	102.25	4	0	0.3	3.235324565
1/19/13	1358553600000	0	79.375	5	0	0.3	2.89196091
1/20/13	1358640000000	0	88.875	6	0	0.1	2.695564033
1/21/13	1358726400000	0	96.29166667	0	0	0.291666667	3.042491427
1/22/13	1358812800000	0	67.58333333	1	0	0.3	3.439935019
1/23/13	1358899200000	0	91.54166667	2	0	0.3	2.977850188
1/24/13	1358985600000	0	109.625	3	0	0.3	2.131822365
1/25/13	1359072000000	0	88.83333333	4	0	0.3	1.86553308
1/26/13	1359158400000	0	107.125	5	0	0.3	1.6522399
1/27/13	1359244800000	0	114.3333333	6	0	0.491666667	1.582183062
1/28/13	1359331200000	0	49.83333333	0	0	1	1.877915726
1/29/13	1359417600000	0	48.29166667	1	0	1	1.938210821
1/30/13	1359504000000	0.175	17.875	2	9.11E-06	1	2.9393767
1/31/13	1359590400000	0.825	48.66666667	3	0.000243577	1	2.711974676
2/1/13	1359676800000	0	86	4	0	1	2.198220883
2/2/13	1359763200000	0	113.1666667	5	0	0.5	1.838457468
2/3/13	1359849600000	0	72.125	6	0	0.5	2.02625536
